name,warehouse_name,parent_warehouse,is_group,company,disabled
"Section 3 - Rack 1 - D1 - GSS","Section 3 - Rack 1 - D1","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 1 - D2 - GSS","Section 3 - Rack 1 - D2","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 1 - E1 - GSS","Section 3 - Rack 1 - E1","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 1 - E2 - GSS","Section 3 - Rack 1 - E2","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 2 - A12 - GSS","Section 3 - Rack 2 - A12","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 2 - B1 - GSS","Section 3 - Rack 2 - B1","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 2 - B2 - GSS","Section 3 - Rack 2 - B2","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 2 - C1 - GSS","Section 3 - Rack 2 - C1","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 2 - C2 - GSS","Section 3 - Rack 2 - C2","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 2 - D1 - GSS","Section 3 - Rack 2 - D1","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 2 - D2 - GSS","Section 3 - Rack 2 - D2","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 2 - E1 - GSS","Section 3 - Rack 2 - E1","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 2 - E2 - GSS","Section 3 - Rack 2 - E2","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 3 - A123456 - GSS","Section 3 - Rack 3 - A123456","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 3 - B1 - GSS","Section 3 - Rack 3 - B1","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 3 - B2 - GSS","Section 3 - Rack 3 - B2","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 3 - B3 - GSS","Section 3 - Rack 3 - B3","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 3 - B4 - GSS","Section 3 - Rack 3 - B4","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 3 - B5 - GSS","Section 3 - Rack 3 - B5","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 3 - B6 - GSS","Section 3 - Rack 3 - B6","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 3 - C1 - GSS","Section 3 - Rack 3 - C1","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 3 - C2 - GSS","Section 3 - Rack 3 - C2","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 3 - C3 - GSS","Section 3 - Rack 3 - C3","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 3 - C4 - GSS","Section 3 - Rack 3 - C4","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 3 - C5 - GSS","Section 3 - Rack 3 - C5","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 3 - C6 - GSS","Section 3 - Rack 3 - C6","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 3 - D1 - GSS","Section 3 - Rack 3 - D1","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 3 - D2 - GSS","Section 3 - Rack 3 - D2","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 3 - D3 - GSS","Section 3 - Rack 3 - D3","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 3 - D4 - GSS","Section 3 - Rack 3 - D4","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 3 - D5 - GSS","Section 3 - Rack 3 - D5","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 3 - D6 - GSS","Section 3 - Rack 3 - D6","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 3 - E1 - GSS","Section 3 - Rack 3 - E1","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 3 - E2 - GSS","Section 3 - Rack 3 - E2","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 3 - E3 - GSS","Section 3 - Rack 3 - E3","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 3 - E4 - GSS","Section 3 - Rack 3 - E4","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 3 - E5 - GSS","Section 3 - Rack 3 - E5","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 3 - E6 - GSS","Section 3 - Rack 3 - E6","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 4 - A1 - GSS","Section 3 - Rack 4 - A1","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 4 - B1 - GSS","Section 3 - Rack 4 - B1","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 4 - C1 - GSS","Section 3 - Rack 4 - C1","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 4 - D1 - GSS","Section 3 - Rack 4 - D1","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 3 - Rack 4 - E1 - GSS","Section 3 - Rack 4 - E1","Section 3 - GSS",0,"Global Spectrum SARL",0
"Section 5 - A1 - GSS","Section 5 - A1","Section 5 - GSS",0,"Global Spectrum SARL",0
"Section 5 - A2 - GSS","Section 5 - A2","Section 5 - GSS",0,"Global Spectrum SARL",0
"Section 5 - B1 - GSS","Section 5 - B1","Section 5 - GSS",0,"Global Spectrum SARL",0
"Section 5 - B2 - GSS","Section 5 - B2","Section 5 - GSS",0,"Global Spectrum SARL",0
"Section 5 - C1 - GSS","Section 5 - C1","Section 5 - GSS",0,"Global Spectrum SARL",0
